ID,question,correct_answer,model_output
3578,is basilar skull fracture present?,no,no
3579,what is present?,liver,small round cells and nuclear atypia
3580,is liver present?,yes,yes
3581,what does this complex of glycoproteins serve to couple?,the cell membrane and the extracellular matrix proteins,membrane to cytoskeleton
3582,is umbilical cord present?,no,no
3583,what is present?,hepatobiliary,small round cells and nuclear atypia
3584,what is present?,liver,small round cells and nuclear atypia
3585,what does this image show?,high molecular weight keratin,epithelial cells
3586,does this image show high molecular weight keratin?,yes,yes
3587,does rheumatoid arthritis show high molecular weight keratin?,no,yes
3588,what is present?,hepatobiliary,brown staining cells
3589,is hepatobiliary present?,yes,yes
3590,is leiomyoma present?,no,no
3591,what is present?,liver,brown staining cells
3592,does this complex of glycoproteins serve to couple the cell membrane to extracellular matrix proteins such as laminin-2 and the intracellular cytoskeleton?,yes,yes
3593,is liver present?,yes,no
3594,is subcapsular hematoma present?,no,no
3595,what does this image show?,low molecular weight keratin,stained epithelial cells with brown staining
3596,does this image show low molecular weight keratin?,yes,yes
3597,does polyarteritis nodosa show low molecular weight keratin?,no,yes
3598,what is present?,hepatobiliary,"brown staining cells and nuclei
purple staining background
epithelial cells"
3599,is hepatobiliary present?,yes,yes
3600,is histiocyte present?,no,yes
3601,what is present?,liver,"brown staining cells and nuclei
purple staining background
epithelial cells"
3602,is liver present?,yes,no
3603,does the light green polypeptides serve to couple the cell membrane to extracellular matrix proteins such as laminin-2 and the intracellular cytoskeleton?,no,yes
3604,is metastatic lung carcinoma present?,no,no
3605,what does this image show?,ductopenia,vacuolated hepatocytes
3606,does this image show ductopenia?,yes,yes
3607,does mesothelioma show ductopenia?,no,yes
3608,what is present?,hepatobiliary,"vacuolated cells
empty spaces
pink cytoplasm
dark nuclei"
3609,is hepatobiliary present?,yes,no
3610,is hypersegmented neutrophil present?,no,no
3611,what is present?,liver,"vacuolated cells
empty spaces
pink cytoplasm
dark nuclei"
3612,is liver present?,yes,yes
3613,is plasma cell present?,no,no
3614,what is made by dystrophin?,a key set of connections,membrane protein
3615,what does this image show?,ductopenia,hematoxylin and eosin stained tissue
3616,does this image show ductopenia?,yes,yes
3617,does a bulge show ductopenia?,no,yes
3618,what is present?,hepatobiliary,"purple stained cells and nuclei
pink stained background
cellular infiltration"
3619,is hepatobiliary present?,yes,yes
3620,is endometritis postpartum present?,no,granulomas present
3621,what is present?,liver,"purple stained cells and nuclei
pink stained background
cellular infiltration"
3622,is liver present?,yes,yes
3623,is leiomyosarcoma present?,no,no
3624,what does this image show?,moderate acute rejection,small cells and larger cells with prominent nuclei
3625,what is a key set of connections made by?,dystrophin,protein filaments
3626,does this image show moderate acute rejection?,yes,no
3627,"does bone, skull show moderate acute rejection?",no,no
3628,what is present?,hepatobiliary,small cells and larger cells with visible nuclei
3629,is hepatobiliary present?,yes,no
3630,is hemochromatosis present?,no,no
3631,what is present?,liver,small cells and larger cells with visible nuclei
3632,is liver present?,yes,no
3633,is fracture present?,no,no
3634,what does this image show?,moderate acute rejection,hepatocytes with scattered inflammatory cells
3635,does this image show moderate acute rejection?,yes,no
3636,is a key set of connections made by dystrophin?,yes,membrane
3637,does hemisection of nose show moderate acute rejection?,no,no
3638,what is present?,hepatobiliary,lymphocytic infiltration
3639,is hepatobiliary present?,yes,no
3640,is blood present?,no,yes
3641,what is present?,liver,lymphocytic infiltration
3642,is liver present?,yes,yes
3643,is stein leventhal present?,no,yes
3644,what does this image show?,moderate acute rejection,small cells and nuclei
3645,does this image show moderate acute rejection?,yes,no
3646,does pituitary show moderate acute rejection?,no,no
3647,are characteristic intranuclear inclusions made by dystrophin?,no,no
3648,what is present?,hepatobiliary,small cells and nuclei
3649,is hepatobiliary present?,yes,no
3650,is chordoma present?,no,no
3651,what is present?,liver,small cells and nuclei
3652,is liver present?,yes,no
3653,is cytomegaly present?,no,no
3654,what does this image show?,mild acute rejection,neutrophils and tubular damage
3655,does this image show mild acute rejection?,yes,no
3656,does liver show mild acute rejection?,no,no
3657,what is present?,hepatobiliary,"neutrophils
epithelial cells
luminal debris
vascular structures"
3658,what has relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?,normal skeletal muscle tissue,skeletal muscle
3659,is hepatobiliary present?,yes,yes
3660,is capillary present?,no,yes
3661,what is present?,liver,"neutrophils
epithelial cells
luminal debris
vascular structures"
3662,is liver present?,yes,no
3663,is anencephaly present?,no,no
3664,what does this image show?,hepatitis b virus,brown pigment deposition
3665,"does this image show hepatitis b virus, hbve antigen immunohistochemistry?",yes,yes
3666,"does myelomonocytic leukemia show hepatitis b virus, hbve antigen immunohistochemistry?",no,positive
3667,what is present?,hepatobiliary,brown granular staining
3668,is hepatobiliary present?,yes,no
3669,has loss of blood supply led to cutaneous ulcerations?,yes,cutaneous ulcerations present
3670,what does normal skeletal muscle tissue have?,relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue,striations
3671,is lesion in dome of uterus present?,no,no
3672,what is present?,liver,brown granular staining
3673,is liver present?,yes,no
3674,is small intestine present?,no,no
3675,what does this image show?,polyarteritis nodosa,contrast-enhanced angiography
3676,"does this image show polyarteritis nodosa, liver arteriogram?",yes,liver arteriogram
3677,"does fibrotic lesion show polyarteritis nodosa, liver arteriogram?",no,vascular branching
3678,what is present?,hepatobiliary,vascular structures
3679,is hepatobiliary present?,yes,yes
3680,is heel ulcer present?,no,no
3681,does normal skeletal muscle have relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?,yes,yes
3682,what does this image show?,lymph nodes,tumour
3683,"does this image show lymph nodes, lymphoma?",yes,"lymph nodes 

lymphoma"
3684,"does lesion show lymph nodes, lymphoma?",no,no
3685,what does this image show?,spleen,a large dark organ with reddish areas
3686,"does this image show spleen, hypersplenism?",yes,spleen
3687,"does mixed mesodermal tumor show spleen, hypersplenism?",no,spleen present
3688,what does this image show?,mesentery with involved nodes,reddened tissue masses
3689,how does this image show mesentery?,with involved nodes,"irregular folds 

reddish areas"
3690,does this image show mesentery with involved nodes?,yes,yes
3691,does retroperitoneum show mesentery with involved nodes?,no,no
3692,does enal glomerulus showing markedly have relatively uniform polygonal myofibers with peripherally placed nuclei that are tightly packed together into fascicles separated by scant connective tissue?,no,muscle fibers
3693,what is present?,lymph node,red lesions
3694,is lymph node present?,yes,yes
3695,is supernumerary digits present?,no,no
3696,what is present?,metastatic carcinoma breast,red lesions
3697,is metastatic carcinoma breast present?,yes,no
3698,is situs inversus present?,no,no
3699,what does this image show?,rather good view of mesentery with typical large nodes case which may have been a t-cell lymphoma,irregular polypoid mass
3700,how does this image show rather good view of mesentery?,with typical large nodes case which may have been a t-cell lymphoma,mesenteric folds are visible
3701,what is present?,lymph node,"irregular masses
reddish discoloration
tissue folds"
3702,what is present?,hodgkins disease,"irregular masses
reddish discoloration
tissue folds"
3703,what is present (top center)?,a perimysial interfascicular septum containing a blood vessel,muscle fiber
3704,what does this image show?,nodes around superior mesenteric artery,reddish tissue with vessels and instruments
3705,what is present?,lymph node,"red tissue
yellow tissue
smooth muscle
vessels
scissors
ruler"
3706,what is present?,metastatic carcinoid,"red tissue
yellow tissue
smooth muscle
vessels
scissors
ruler"
3707,what does this image show?,close-up hilar node with anthracotic pigment and metastatic small cell carcinoma from lung good example,bone necrosis
3708,what is present?,lymph node,dark pigmented lesions on bone
3709,what does this image show?,nodes at tail of pancreas massively replaced by metastatic lung carcinoma,large hepatic mass
3710,what is present?,lymph node,liver with a large mass
3711,how is nodes at tail of pancreas replaced replaced by lung carcinoma?,metastatic,nodes at tail of pancreas replaced by lung carcinoma
3712,what does this image show?,masses of periaortic nodes natural color good,tissue with irregular masses and hemorrhage
3713,what is present?,lymph node,"irregular masses
reddish tissue
visible vessels
tissue disruption"
3714,what does a perimysial interfascicular septum contain?,a blood vessel,blood vessels nerves connective tissue
3715,what is present?,large cell lymphoma,"irregular masses
reddish tissue
visible vessels
tissue disruption"
3716,what does this image show?,fixed tissue excellent example of massively enlarged subcarinal and peritracheal nodes with metastatic lung cancer,extensive tissue necrosis and ulceration
3717,what is present?,lymph node,"lesions 

tissue discoloration 

irregular surface 

dark staining"
3718,is lymph node present?,yes,yes
3719,what is present?,metastatic carcinoma,"lesions 

tissue discoloration 

irregular surface 

dark staining"
3720,is metastatic carcinoma present?,yes,yes
3721,is endocervical polyp present?,no,no
3722,what shows good atherosclerotic plaques?,periaortic nodes with metastatic carcinoma aorta,yellowish fatty deposits
3723,what does periaortic nodes with metastatic carcinoma aorta show?,good atherosclerotic plaques,periaortic nodes with metastatic carcinoma aorta
3724,does periaortic nodes with metastatic carcinoma aorta show good atherosclerotic plaques?,yes,no
3725,is a perimysial interfascicular septum containing a blood vessel present?,yes,yes
3726,does external view of gland with knife cuts into parenchyma hemorrhage show good atherosclerotic plaques?,no,no
3727,what does this image show?,periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques,reddish tissue with a large mass
3728,does this image show periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques?,yes,periaortic nodes present metastatic carcinoma aorta shows atherosclerotic plaques
3729,does artery show periaortic nodes with metastatic carcinoma aorta shows good atherosclerotic plaques?,no,periaortic nodes present metastatic carcinoma aorta shows atherosclerotic plaques
3730,what is present?,lymph node,"red tissue
irregular mass
vessel dilation
fatty tissue"
3731,is lymph node present?,yes,yes
3732,is another fiber other frame present?,no,no
3733,what does this image show?,spleen,red tissue section
3734,"does this image show spleen, lymphoma?",yes,spleen
3735,"does vessel show spleen, lymphoma?",no,spleen
3736,is remission of demyelinating disease present?,no,no
3737,what does this image show?,lymph nodes,cysts
3738,"does this image show lymph nodes, nodular sclerosing hodgkins disease?",yes,no
3739,"does retroperitoneum show lymph nodes, nodular sclerosing hodgkins disease?",no,no
3740,what does this image show?,lymph nodes,inflammatory cells
3741,"does this image show lymph nodes, nodular sclerosing hodgkins disease?",yes,no
3742,"does hypertension show lymph nodes, nodular sclerosing hodgkins disease?",no,no
3743,what does this image show?,spleen,lymphoid aggregates
3744,"does this image show spleen, congestion, congestive heart failure?",yes,congestion
3745,"does cat show spleen, congestion, congestive heart failure?",no,spleen present congestion present
3746,what does this image show?,fair cell detail at best medium size cells,dense cellular infiltrate
3747,what is corresponding to findings in the fig.711?,normal muscle has a checkerboard distribution of type i and type ii fibers,muscle fibers
3748,does this image show fair cell detail at best medium size cells?,yes,medium size cells
3749,what is present?,lymph node,cellular infiltrate
3750,is lymph node present?,yes,yes
3751,what is present?,malignant lymphoma,cellular infiltrate
3752,is malignant lymphoma present?,yes,yes
3753,what is typical for dx?,morphology,neutrophils
3754,is morphology typical for dx?,yes,yes
3755,what does this image show?,not the best histology,hematoxylin and eosin stained tissue
3756,does this image show not the best histology?,yes,no
3757,what is present?,lymph node,"red blood cells
nucleated cells
cytoplasm
pink staining tissue"
3758,what did fibers on this atpase reaction ph9 .4 correspond to?,findings in fig711,muscle fibers
3759,is lymph node present?,yes,yes
3760,what is present?,burkitts lymphoma,"red blood cells
nucleated cells
cytoplasm
pink staining tissue"
3761,is burkitts lymphoma present?,yes,no
3762,how is not the best histology but morphology for dx?,typical,"pink cytoplasm
small nuclei
granularity"
3763,how is not the best histology but morphology typical for?,dx,lymphoid tissue
3764,what does this image show?,typical with reed sternberg cell source,cellular infiltrate
3765,does this image show typical with reed sternberg cell source?,yes,no
3766,what is present?,lymph node,"nuclei
cytoplasm
cellular variation"
3767,is lymph node present?,yes,yes
3768,what is present?,hodgkins disease,"nuclei
cytoplasm
cellular variation"
3769,did fibers on this atpase reaction ph9 .4 correspond to findings in the figure?,yes,yes
3770,is hodgkins disease present?,yes,no
3771,what is present?,lymph node,small cells
3772,is lymph node present?,yes,yes
3773,is thymoma present?,no,no
3774,what is present?,chronic lymphocytic leukemia,small cells
3775,is chronic lymphocytic leukemia present?,yes,lymphocytes are present
3776,is intramural one lesion present?,no,no
3777,what is present?,lymph node,darkly stained tissue with cellular infiltrate
3778,is lymph node present?,yes,no
3779,"is bone, calvarium present?",no,no
3780,has low-power view of a cross section of a skin blister showing the epidermis led to cutaneous ulcerations?,no,no
3781,did urate crystals correspond to findings in the figure?,no,no
3782,what is present?,chronic lymphocytic leukemia,darkly stained tissue with cellular infiltrate
3783,is chronic lymphocytic leukemia present?,yes,no
3784,is child present?,no,no
3785,what does this image show?,lymphocytic infiltration in perinodal fat,neutrophils and erythrocytes
3786,does this image show lymphocytic infiltration in perinodal fat?,yes,yes
3787,does eosinophilic adenoma show lymphocytic infiltration in perinodal fat?,no,yes
3788,what is present?,lymph node,purple cells and a red rod
3789,is lymph node present?,yes,yes
3790,is omentum present?,no,no
3791,what is present?,malignant lymphoma,purple cells and a red rod
3792,what are expanded by infiltrating tumor cells?,multiple nerve fascicles,connective tissue
3793,is malignant lymphoma present?,yes,no
3794,what does this image show?,edge of node with infiltration of capsule obliteration of subcapsular sinus mixture of small dark lymphocytes and larger cells with vesicular nuclei not specified,dense cellular infiltrate
3795,how does this image show edge of node?,with infiltration capsule obliteration subcapsular sinus mixture small dark lymphocytes and larger cells with vesicular nuclei not specified,irregular cell borders
3796,does this image show edge of node with infiltration of capsule obliteration of subcapsular sinus mixture of small dark lymphocytes and larger cells with vesicular nuclei not specified?,yes,yes
3797,what is present?,lymph node,dense cellular infiltrate
3798,is lymph node present?,yes,yes
3799,what is present?,malignant lymphoma,dense cellular infiltrate
3800,is malignant lymphoma present?,yes,yes
3801,what does this image show?,lymphoma cells,hematoxylin and eosin stained tissue
3802,does this image show lymphoma cells?,yes,no
3803,what are multiple nerve fascicles expanded by?,infiltrating tumor cells,white matter
3804,what is present?,lymph node,small cells red blood cells
3805,is lymph node present?,yes,no
3806,what is present?,lymphoblastic lymphoma,small cells red blood cells
3807,is lymphoblastic lymphoma present?,yes,no
3808,what died with promyelocytic leukemia stomach lesion #?,incidental finding,promyelocytes
3809,what is incidental finding died?,with promyelocytic leukemia stomach lesion #,fibrous tissue
3810,how is incidental finding died?,promyelocytic leukemia stomach lesion #,small round cells
3811,is incidental finding died with promyelocytic leukemia stomach lesion #?,yes,promyelocytes granulocytic infiltrate
3812,how many cm does this image show hepatic node anaplastic adenocarcinoma from a sessile prepyloric polyp incidental finding died with promyelocytic leukemia stomach lesion #?,one,the image does not show a measurement
3813,what does this image show?,hepatic node anaplastic adenocarcinoma from a one cm sessile prepyloric polyp incidental finding died with promyelocytic leukemia stomach lesion #,small round cells with dark nuclei and cytoplasm
3814,are multiple nerve fascicles expanded by infiltrating tumor cells?,yes,yes
3815,does this image show hepatic node anaplastic adenocarcinoma from a one cm sessile prepyloric polyp incidental finding died with promyelocytic leukemia stomach lesion #?,yes,lymphocytic infiltrate
3816,what is present?,lymph node,large cells with granular nuclei and abundant cytoplasm surrounded by inflammatory cells
3817,is lymph node present?,yes,yes
3818,what is present?,metastatic carcinoma,large cells with granular nuclei and abundant cytoplasm surrounded by inflammatory cells
3819,is metastatic carcinoma present?,yes,no
3820,what does this image show?,lymph node,inflammatory infiltrate
3821,"does this image show lymph node, cryptococcosis gms?",yes,lymph node
3822,what does this image show?,normal testes,tissue mass
3823,does this image show normal testes?,yes,no
3824,what is present?,male reproductive,reddish tissue mass
3825,are characteristic intranuclear inclusions expanded by infiltrating tumor cells?,no,yes
3826,is male reproductive present?,yes,no
3827,what does this image show?,orchitis and epididymitis,a large orange mass
3828,"does this image show orchitis and epididymitis, subacute?",yes,"orchitis
epididymitis"
3829,what is present?,prostate,"dark pigmented lesions
reddish tissue
irregular surface"
3830,is prostate present?,yes,no
3831,what is present?,venous thrombosis,"dark pigmented lesions
reddish tissue
irregular surface"
3832,is venous thrombosis present?,yes,no
3833,what sliced open testicle with intact epididymis?,excellent close-up view,sliced open testicle with intact epididymis
3834,what is excellent close-up view sliced?,view sliced open testicle with intact epididymis,red tissue
3835,how is excellent close-up view sliced open testicle?,intact epididymis,reddish tan tissue
3836,is the vascular supply intact?,yes,no
3837,is excellent close-up view sliced open testicle with intact epididymis?,yes,excellent close-up view sliced open testicle with intact epididymis
3838,what does this image show?,excellent close-up view sliced open testicle with intact epididymis,a large reddish-brown mass
3839,does this image show excellent close-up view sliced open testicle with intact epididymis?,yes,yes
3840,what is present?,testicle,red tissue mass
3841,is testicle present?,yes,yes
3842,what is present?,normal,red tissue mass
3843,is normal present?,yes,no
3844,how is excellent close-up view sliced testicle with intact epididymis?,open,sliced testicle with intact epididymis
3845,how is excellent close-up view sliced open testicle with epididymis?,intact,reddish tan tissue with irregular surface
3846,what photographed close-up showing nodular parenchyma and dense intervening tumor tissue very good?,bread-loaf slices into prostate gland,nodular parenchyma dense tumor tissue
3847,is subacute endocarditis intact?,no,yes
3848,is bread-loaf slices into prostate gland photographed close-up showing nodular parenchyma and dense intervening tumor tissue very good?,yes,nodular parenchyma dense tumor tissue
3849,what does this image show?,bread-loaf slices into prostate gland photographed close-up showing nodular parenchyma and dense intervening tumor tissue very good,tissue masses
3850,does this image show bread-loaf slices into prostate gland photographed close-up showing nodular parenchyma and dense intervening tumor tissue very good?,yes,nodular parenchyma dense tumor tissue
3851,what intervening tumor tissue very good?,nodular parenchyma and dense,yellowish masses
3852,what is nodular parenchyma and dense intervening?,tumor tissue very good,nodular parenchyma present dense intervening tissue
3853,is nodular parenchyma and dense intervening tumor tissue very good?,yes,no
3854,what is present?,adenocarcinoma,"yellowish masses
reddish tissue
irregular surface
tissue folds"
3855,is adenocarcinoma present?,yes,yes
3856,how is nodular parenchyma and dense intervening tumor tissue very?,good,very
3857,what does this image show?,view of prostate bladder ureters and kidneys quite good shows prostate tumor invading floor of bladder causing hydroureter and hydronephrosis,dissected organs with a large mass
3858,"what begins at the edges of the lesion, where the vascular supply is intact?",infiltration of a cerebral infarction by neutrophils,vacuolization
3859,does this image show view of prostate bladder ureters and kidneys quite good shows prostate tumor invading floor of bladder causing hydroureter and hydronephrosis?,yes,prostate tumor infiltration bladder hydroureter hydronephrosis
3860,what is present?,prostate,"reddish tissue fragments
irregular surface
dark discoloration
tissue disruption"
3861,is prostate present?,yes,no
3862,what is present?,adenocarcinoma,"reddish tissue fragments
irregular surface
dark discoloration
tissue disruption"
3863,is adenocarcinoma present?,yes,yes
3864,what is not enlarged?,neoplasm gland,metric scale
3865,is neoplasm gland not enlarged?,yes,neoplasm present
3866,what does this image show?,excellent example to see neoplasm gland is not enlarged,pinkish tissue mass
3867,does this image show excellent example to see neoplasm gland is not enlarged?,yes,no
3868,what is present?,adenocarcinoma,reddish tissue mass
3869,"does a ball of hair and a mixture of tissues begin at the edges of the lesion, where the vascular supply is intact?",no,no
3870,is adenocarcinoma present?,yes,yes
3871,how many testicle does this image show discrete yellow mass lesion in hydrocele in other?,one,two
3872,what does this image show?,discrete yellow mass lesion in one testicle hydrocele in other,two hearts
3873,does this image show discrete yellow mass lesion in one testicle hydrocele in other?,yes,discrete yellow mass lesion right testicle hydrocele left testicle
3874,what is present?,testicle,"two hearts
a ruler
a blue fabric"
3875,is testicle present?,yes,yes
3876,what is present?,interstitial cell tumor,"two hearts
a ruler
a blue fabric"
3877,is interstitial cell tumor present?,yes,no
3878,what does this image show?,fibrocaseous mass of tissue,tissue mass
3879,does this image show fibrocaseous mass of tissue?,yes,yes
3880,when does an area of infarction show the presence of macrophages and surrounding reactive gliosis?,by day 10,macrophages and reactive gliosis
3881,what is present?,epididymis,"mass
reddish tissue
irregular surface
bleeding"
3882,is epididymis present?,yes,yes
3883,what is present?,tuberculosis,"mass
reddish tissue
irregular surface
bleeding"
3884,is tuberculosis present?,yes,uncertain
3885,what does this image show?,numerous large thrombi,resected tissue
3886,does this image show numerous large thrombi?,yes,no
3887,what is present?,prostate,"tissue necrosis
dark discoloration
surgical incision
tissue flaps"
3888,is prostate present?,yes,no
3889,what is present?,periprostatic vein thrombi,"tissue necrosis
dark discoloration
surgical incision
tissue flaps"
3890,is periprostatic vein thrombi present?,yes,yes
3891,what delimits the tumor from the surrounding tissue?,the fibrous capsule,fibrous stroma
3892,what shows the presence of macrophages and surrounding reactive gliosis by day 10?,an area of infarction,macrophages and reactive gliosis
3893,what does this image show?,no hyperplasia,lesion
3894,does this image show no hyperplasia?,yes,no
3895,what is present?,prostate,"lesion
red discoloration
tissue texture"
3896,is prostate present?,yes,yes
3897,what is present?,calculi,"lesion
red discoloration
tissue texture"
3898,is calculi present?,yes,yes
3899,what does this image show?,discrete tumor mass,red organ with blood
3900,does this image show discrete tumor mass?,yes,no
3901,does digital infarcts bacterial endocarditis show discrete tumor mass?,no,no
3902,what is present?,testicle,"red tissue
blood
irregular surface"
3903,by when does an area of infarction show the presence of macrophages and surrounding reactive gliosis?,day 10,not visible
3904,is testicle present?,yes,yes
3905,is cut edge of mesentery present?,no,yes
3906,what is present?,metastatic carcinoma,"red tissue
blood
irregular surface"
3907,is metastatic carcinoma present?,yes,no
3908,is testicle present?,no,yes
3909,what does this image show?,testes,tubules and cells
3910,"does this image show testes, testicular atrophy?",yes,testes
3911,when does this image show apoptosis in prostate?,after orchiectomy,not visible
3912,what does this image show?,apoptosis in prostate after orchiectomy,glandular epithelium
3913,does this image show apoptosis in prostate after orchiectomy?,yes,no
3914,what does an area of infarction show by day 10?,the presence of macrophages and surrounding reactive gliosis,pale infarcts
3915,what does this image show?,prostate,nephron structures
3916,"does this image show prostate, benign prostatic hyperplasia?",yes,no
3917,what does this image show?,prostate,nephron
3918,"does this image show prostate, benign prostatic hyperplasia?",yes,kidney tubules
3919,what does this image show?,normal prostate,glandular epithelium and inflammatory cells
3920,does this image show normal prostate?,yes,no
3921,what illustrates organisms granulomatous prostatitis case of aids?,gms,non-caseating granulomas
3922,what does gms illustrate?,organisms granulomatous prostatitis case of aids,dark pigment granules
3923,does gms illustrate organisms granulomatous prostatitis case of aids?,yes,granulomas present
3924,what does this image show?,gms illustrates organisms granulomatous prostatitis case of aids,melanocytes with melanin pigment
3925,does an area of infarction show the presence of macrophages and surrounding reactive gliosis by day 10?,yes,yes
3926,does this image show gms illustrates organisms granulomatous prostatitis case of aids?,yes,granulomas present
3927,what is present?,pneumocystis,dark granular pigment cells
3928,is pneumocystis present?,yes,no
3929,what does this image show?,7yo with craniopharyngioma and underdeveloped penis,glandular tissue
3930,does this image show 7yo with craniopharyngioma and underdeveloped penis?,yes,no
3931,what is present?,testicle,"glandular structures
pink cytoplasm
dark nuclei
basement membrane"
3932,is testicle present?,yes,no
3933,what does this image show?,classical polyarteritis nodosa type lesion,necrosis
3934,does this image show classical polyarteritis nodosa type lesion?,yes,no
3935,what is present?,testicle,lymphocytic infiltrate
3936,does the distal edge of the intramural hematoma show the presence of macrophages and surrounding reactive gliosis by day 10?,no,yes
3937,is testicle present?,yes,no
3938,what is present?,rheumatoid arthritis with vasculitis,lymphocytic infiltrate
3939,is rheumatoid arthritis with vasculitis present?,yes,no
3940,what does this image show?,med excellent example of perineural invasion,neoplastic cells
3941,does this image show med excellent example of perineural invasion?,yes,no
3942,what is present?,prostate,cellular infiltrate
3943,is prostate present?,yes,no
3944,what is present?,adenocarcinoma,cellular infiltrate
3945,is adenocarcinoma present?,yes,no
3946,what does this image show?,inguinal hernia,erythema and edema
3947,what are seen as areas of tissue loss and residual gliosis?,old intracortical infarcts,Areas of tissue loss are present. Residual gliosis is observed.
3948,does this image show inguinal hernia?,yes,yes
3949,what does this image show?,diaphragm,large irregular mass
3950,"does this image show diaphragm, asbestosis and mesothelioma?",yes,"diaphragm
asbestosis
mesothelioma"
3951,what looks like ivory vertebra of breast carcinoma?,close-up,two lesions
3952,what does close-up look?,up looks like ivory vertebra of breast carcinoma,lesions and discoloration
3953,does close-up look like ivory vertebra of breast carcinoma?,yes,yes
3954,what does this image show?,close-up looks like ivory vertebra of breast carcinoma,tissue with lesions
3955,does this image show close-up looks like ivory vertebra of breast carcinoma?,yes,yes
3956,what is a case of prostatic carcinoma?,this,multiple pale lesions
3957,what is this of prostatic carcinoma?,a case,lesions
3958,what are old intracortical infarcts seen as?,areas of tissue loss and residual gliosis,pale hemorrhagic foci
3959,is this a case of prostatic carcinoma?,yes,no
3960,what is present?,joints,"tissue lesions
yellowish areas
dark staining
bone tissue"
3961,is joints present?,yes,bone tissue
3962,what does this image show?,good representation,tissue necrosis
3963,does this image show good representation?,yes,no
3964,does nodule show good representation?,no,no
3965,what is present?,joints,"tissue necrosis
hemorrhage
inflammation"
3966,is joints present?,yes,no
3967,is surface of nodes seen externally in slide present?,no,yes
3968,what does this image show?,several and large lesions,spinal tissue
3969,are old intracortical infarcts seen as areas of tissue loss and residual gliosis?,yes,no
3970,does this image show several and large lesions?,yes,yes
3971,does granulomata slide show several and large lesions?,no,yes
3972,what is present?,joints,vertebral tissue
3973,is joints present?,yes,no
3974,is nipples present?,no,no
3975,what does this image show?,white muscle,tissue fragment with pink discoloration
3976,does this image show white muscle?,yes,yes
3977,does glioma show white muscle?,no,no
3978,what is present?,soft tissue,pinkish discoloration
3979,is soft tissue present?,yes,yes
3980,when does an area of infarction show the presence of macrophages and surrounding reactive gliosis?,by day 10,macrophages and reactive gliosis
3981,is acute lymphocytic leukemia present?,no,no
3982,what are easily seen?,multiple and typical lesions,red hemorrhagic spots
3983,are multiple and typical lesions easily seen?,yes,yes
3984,are tuberculous peritonitis easily seen?,no,yes
3985,what does this image show?,not the best color in photo,brain section with hemorrhage and petechiae
3986,does this image show not the best color in photo?,yes,yes
3987,does oil acid show not the best color in photo?,no,no
3988,what is present?,joints,"red hemorrhagic areas
multiple small dark spots
irregular surface texture
white measuring stick"
3989,is joints present?,yes,no
3990,is wrights single cell present?,no,no
3991,what is attached to the dura?,large organizing subdural hematoma,brain tissue
3992,when does this image show patient?,before surgery lesion in clavicle,back
3993,what does this image show?,patient before surgery lesion in clavicle,human posterior view
3994,does this image show patient before surgery lesion in clavicle?,yes,no
3995,what is present?,joints,"back of head
neck
shoulder
skin"
3996,is joints present?,yes,no
3997,what does this image show?,opened body,heart and liver
3998,does this image show opened body?,yes,yes
3999,what is present?,muscle,heart liver
4000,is muscle present?,yes,yes
4001,what is present?,soft tissue,heart liver
4002,what does the fibrous capsule delimit?,the tumor,glandular structures
4003,what is large organizing subdural hematoma attached to?,the dura,brain surface
4004,is soft tissue present?,yes,yes
4005,what collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma?,one,collapsed vertebra with neoplasm
4006,what is one collapsed?,vertebra and filled with neoplasm looks like breast carcinoma but an unclassified lymphoma,vertebra
4007,is one collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma?,yes,"collapsed vertebra
filled with neoplasm
looks like breast carcinoma
unclassified lymphoma"
4008,what does this image show?,vertebra column one collapsed vertebra and one filled with neoplasm looks like breast carcinoma but is an unclassified lymphoma,vertebral column
4009,what is present?,joints,vertebral fragments
4010,is joints present?,yes,yes
4011,what does this image show?,sternum saggital section obvious neoplasm from lung scar carcinoma,bone fragments
4012,does this image show sternum saggital section obvious neoplasm from lung scar carcinoma?,yes,no
4013,what is present?,joints,bone fragments
4014,is large organizing subdural hematoma attached to the dura?,yes,large organizing subdural hematoma attached to the dura
4015,is joints present?,yes,no
4016,what does this image show?,sectioned femoral heads showing very nicely necrosis excellent,multiple liver fragments with areas of necrosis and hemorrhage
4017,does this image show sectioned femoral heads showing very nicely necrosis excellent?,yes,yes
4018,what is present?,joints,multiple tissue fragments with areas of hemorrhage and necrosis
4019,is joints present?,yes,fragmented bone
4020,what sigmoid colon papillary adenocarcinoma 6mo post colon resection with multiple complications?,excellent lesions,multiple papillary masses sigmoid colon
4021,what is excellent multiple lesions sigmoid?,colon papillary adenocarcinoma 6mo post colon resection with complications,multiple lesions sigmoid
